main_topic,description_1,bill_link,bill_name,current_status,first_house_progress,second_house_progress,after_passage_progress,description_2,sponsors,requester,democrat_sponsor_count,republican_sponsor_count
COVID-19 AND CORONAVIRUS,"Businesses, assistance to prevent closing of, certain account funds use for",https://app.leg.wa.gov/billsummary?BillNumber=5156&Year=2021&Initiative=false,SB 5156,SWays & Means,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Making expenditures from the budget stabilization account to address issues of homelessness, home security, and economic impacts of the COVID-19 pandemic on small businesses.","Rolfes, Conway, Das, Dhingra, Frockt, Kuderer, Liias, Nobles, Randall, Saldaña, Claire Wilson",Office of Financial Management,11,2
COVID-19 AND CORONAVIRUS,"Businesses, B&O tax exemption when closed due to COVID-19",https://app.leg.wa.gov/billsummary?BillNumber=1520&Year=2021&Initiative=false,HB 1520,HFinance,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Providing business and occupation tax relief for businesses impacted by the Covid-19 pandemic.,"Young, Walsh, Sutherland, Kraft, Dufault, Jacobsen",No Requester,0,6
COVID-19 AND CORONAVIRUS,"Businesses, business interruption insurance, denial of claims for, extending period for challenging",https://app.leg.wa.gov/billsummary?BillNumber=5351&Year=2021&Initiative=false,SB 5351,"SBusiness, Fina","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning business interruption insurance claims.,"Frockt, Nobles, Cleveland, Das, Hasegawa, Keiser, Kuderer, Lovelett, Nguyen, Randall, Salomon, Claire Wilson",No Requester,12,2
COVID-19 AND CORONAVIRUS,"Businesses, dependent on conventions hosted in WA, convention economy grants for",https://app.leg.wa.gov/billsummary?BillNumber=1879&Year=2021&Initiative=false,HB 1879,HApprops,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Providing Washington state convention economy grants.,"Ryu, Berry, Riccelli, Frame, Macri",Secretary of State,5,0
COVID-19 AND CORONAVIRUS,"Businesses, dependent on conventions hosted in WA, convention economy grants for",https://app.leg.wa.gov/billsummary?BillNumber=5770&Year=2021&Initiative=false,Substitute - SSB 5770,SWays & Means,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Providing Washington state convention economy grants.,"Mullet, Frockt",Secretary of State,2,0
COVID-19 AND CORONAVIRUS,"Businesses, dependent on conventions hosted in WA, convention economy grants for",https://app.leg.wa.gov/billsummary?BillNumber=5770&Year=2021&Initiative=false,Substitute - SSB 5770,SWays & Means,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Providing Washington state convention economy grants.,"Mullet, Frockt",Secretary of State,2,0
COVID-19 AND CORONAVIRUS,"Businesses, economic impacts of pandemic on, additional main street program contributions credit",https://app.leg.wa.gov/billsummary?BillNumber=1279&Year=2021&Initiative=false,Substitute - SHB 1279,C 112 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Modifying the Washington main street program tax incentive to respond to the economic impacts of the COVID-19 pandemic.,"Rule, Ramel, Bateman, Boehnke, Shewmake, Chapman, Ryu, Jesse Johnson, Wicks, Senn, Hoff, Walen, Peterson, Hackney, Rude, Callan, Leavitt, Vick, Harris-Talley",No Requester,15,5
COVID-19 AND CORONAVIRUS,"Businesses, economic impacts of pandemic on, additional main street program contributions credit",https://app.leg.wa.gov/billsummary?BillNumber=1279&Year=2021&Initiative=false,Substitute - SHB 1279,C 112 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Modifying the Washington main street program tax incentive to respond to the economic impacts of the COVID-19 pandemic.,"Rule, Ramel, Bateman, Boehnke, Shewmake, Chapman, Ryu, Jesse Johnson, Wicks, Senn, Hoff, Walen, Peterson, Hackney, Rude, Callan, Leavitt, Vick, Harris-Talley",No Requester,15,5
COVID-19 AND CORONAVIRUS,"Businesses, economic impacts of pandemic on, B&O tax credit",https://app.leg.wa.gov/billsummary?BillNumber=1012&Year=2021&Initiative=false,HB 1012,HFinance,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Providing a business and occupation tax credit to address the economic impacts of the COVID-19 pandemic on businesses in the state.,"MacEwen, Eslick, Dent, Corry, Young, Graham, Vick, Robertson, Barkis, Rude, Jacobsen, Schmick",No Requester,0,12
COVID-19 AND CORONAVIRUS,"Businesses, economic impacts of pandemic on, B&O tax deferral",https://app.leg.wa.gov/billsummary?BillNumber=1188&Year=2021&Initiative=false,HB 1188,HFinance,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Providing a business and occupation tax payment deferral to address the economic impacts of the COVID-19 pandemic on businesses in the state.,"MacEwen, Young, Abbarno, Barkis, Eslick",No Requester,0,5
COVID-19 AND CORONAVIRUS,"Businesses, price increases by, excessive/unjustified during state of emergency, prohibiting",https://app.leg.wa.gov/billsummary?BillNumber=5191&Year=2021&Initiative=false,Engrossed Substitute - ESSB 5191,SRules X,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Regulating unfair business practices and prohibiting predatory price increases during states of emergency.,"Darneille, King, Billig, Carlyle, Conway, Das, Hasegawa, Hunt, Kuderer, Liias, Lovelett, Nguyen, Nobles, Randall, Salomon, Stanford, Claire Wilson",Attorney General,15,3
COVID-19 AND CORONAVIRUS,"Businesses, price increases by, excessive/unjustified during state of emergency, prohibiting",https://app.leg.wa.gov/billsummary?BillNumber=5191&Year=2021&Initiative=false,Engrossed Substitute - ESSB 5191,SRules X,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Regulating unfair business practices and prohibiting predatory price increases during states of emergency.,"Darneille, King, Billig, Carlyle, Conway, Das, Hasegawa, Hunt, Kuderer, Liias, Lovelett, Nguyen, Nobles, Randall, Salomon, Stanford, Claire Wilson",Attorney General,15,3
COVID-19 AND CORONAVIRUS,"Businesses, restaurants that ceased engaging in business during pandemic, pandemic tax forgiveness for",https://app.leg.wa.gov/billsummary?BillNumber=2133&Year=2021&Initiative=false,HB 2133,HFinance,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Providing relief from taxes, penalties, interest, and fees for eligible restaurants that ceased engaging in business during the COVID-19 pandemic.","Jesse Johnson, Stonier",No Requester,1,0
COVID-19 AND CORONAVIRUS,"Businesses, safety/health penalties imposed on employers by L&I, restricting",https://app.leg.wa.gov/billsummary?BillNumber=1609&Year=2021&Initiative=false,HB 1609,HLabor & Workpl,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Limiting agency authority to align with federal standards during public health emergencies.,"Hoff, Vick, Caldier, Graham, Corry, Dufault",No Requester,0,6
COVID-19 AND CORONAVIRUS,"Businesses, small, B&O tax relief during small business excise tax relief period in 2021, when",https://app.leg.wa.gov/billsummary?BillNumber=5398&Year=2021&Initiative=false,SB 5398,SWays & Means,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Providing small business excise tax relief to address the financial hardship caused by COVID-19.,"Wellman, Das, Dhingra, Hasegawa, Kuderer, Nguyen, Nobles, Randall, Saldaña, Claire Wilson",No Requester,10,2
COVID-19 AND CORONAVIRUS,"Businesses, small, working Washington grants to assist during pandemic, using certain funds for",https://app.leg.wa.gov/billsummary?BillNumber=1368&Year=2021&Initiative=false,Engrossed Substitute - ESHB 1368,C 3 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Responding to the COVID-19 pandemic through state actions supported by federal funding.,"Ormsby, Macri, Ramos, Callan, Gregerson, Berry, Sullivan, Leavitt, Duerr, Bergquist, Kloba, Riccelli, Ramel, Harris-Talley, Pollet",No Requester,16,1
COVID-19 AND CORONAVIRUS,"Businesses, small, working Washington grants to assist during pandemic, using certain funds for",https://app.leg.wa.gov/billsummary?BillNumber=1368&Year=2021&Initiative=false,Engrossed Substitute - ESHB 1368,C 3 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Responding to the COVID-19 pandemic through state actions supported by federal funding.,"Ormsby, Macri, Ramos, Callan, Gregerson, Berry, Sullivan, Leavitt, Duerr, Bergquist, Kloba, Riccelli, Ramel, Harris-Talley, Pollet",No Requester,16,1
COVID-19 AND CORONAVIRUS,"Businesses, small, working Washington grants to assist during pandemic, using certain funds for",https://app.leg.wa.gov/billsummary?BillNumber=5344&Year=2021&Initiative=false,SB 5344,SWays & Means,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Responding to the COVID-19 pandemic through state actions supported by federal funding.,"Rolfes, Robinson, Billig, Dhingra, Nguyen, Nobles, Randall, Saldaña",No Requester,8,0
COVID-19 AND CORONAVIRUS,"Businesses, with liquor licenses, privileges granted to mitigate pandemic effects for, extending",https://app.leg.wa.gov/billsummary?BillNumber=1480&Year=2021&Initiative=false,Engrossed 2nd Substitute - E2SHB 1480,C 48 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Extending certain privileges granted to liquor licensees to mitigate the impact of the coronavirus pandemic.,"MacEwen, Kloba, Sutherland, Robertson, Ormsby, Chambers, Eslick, Tharinger",Liquor and Cannabis Board,3,5
COVID-19 AND CORONAVIRUS,"Businesses, with liquor licenses, privileges granted to mitigate pandemic effects for, extending",https://app.leg.wa.gov/billsummary?BillNumber=1480&Year=2021&Initiative=false,Engrossed 2nd Substitute - E2SHB 1480,C 48 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Extending certain privileges granted to liquor licensees to mitigate the impact of the coronavirus pandemic.,"MacEwen, Kloba, Sutherland, Robertson, Ormsby, Chambers, Eslick, Tharinger",Liquor and Cannabis Board,3,5
COVID-19 AND CORONAVIRUS,"Businesses, with liquor licenses, privileges granted to mitigate pandemic effects for, extending",https://app.leg.wa.gov/billsummary?BillNumber=1480&Year=2021&Initiative=false,Engrossed 2nd Substitute - E2SHB 1480,C 48 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Extending certain privileges granted to liquor licensees to mitigate the impact of the coronavirus pandemic.,"MacEwen, Kloba, Sutherland, Robertson, Ormsby, Chambers, Eslick, Tharinger",Liquor and Cannabis Board,3,5
COVID-19 AND CORONAVIRUS,"Businesses, with liquor licenses, privileges granted to mitigate pandemic effects for, extending",https://app.leg.wa.gov/billsummary?BillNumber=5417&Year=2021&Initiative=false,Substitute - SSB 5417,SRules X,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Extending certain privileges granted to liquor licensees to mitigate the impact of the coronavirus pandemic.,"King, Conway, Nguyen, Randall, Claire Wilson",Liquor and Cannabis Board,4,3
COVID-19 AND CORONAVIRUS,"Businesses, with liquor licenses, privileges granted to mitigate pandemic effects for, extending",https://app.leg.wa.gov/billsummary?BillNumber=5417&Year=2021&Initiative=false,Substitute - SSB 5417,SRules X,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Extending certain privileges granted to liquor licensees to mitigate the impact of the coronavirus pandemic.,"King, Conway, Nguyen, Randall, Claire Wilson",Liquor and Cannabis Board,4,3
COVID-19 AND CORONAVIRUS,"Child care and early learning providers, increasing rates/training/grants/services to support",https://app.leg.wa.gov/billsummary?BillNumber=1213&Year=2021&Initiative=false,Engrossed 2nd Substitute - E2SHB 1213,HRules X,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Expanding accessible, affordable child care and early childhood development programs.","Senn, Chopp, Ramos, Bateman, Sells, Shewmake, Lekanoff, Peterson, Stonier, Duerr, Fitzgibbon, Berry, Rule, Davis, Wicks, Fey, Callan, Dolan, Frame, Lovick, Chapman, Ryu, Santos, Thai, Ortiz-Self, Orwall, Simmons, Slatter, Gregerson, Bergquist, Hackney, Valdez, Ramel, Riccelli, Macri, Goodman, Harris-Talley",No Requester,36,1
COVID-19 AND CORONAVIRUS,"Child care and early learning providers, increasing rates/training/grants/services to support",https://app.leg.wa.gov/billsummary?BillNumber=1213&Year=2021&Initiative=false,Engrossed 2nd Substitute - E2SHB 1213,HRules X,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Expanding accessible, affordable child care and early childhood development programs.","Senn, Chopp, Ramos, Bateman, Sells, Shewmake, Lekanoff, Peterson, Stonier, Duerr, Fitzgibbon, Berry, Rule, Davis, Wicks, Fey, Callan, Dolan, Frame, Lovick, Chapman, Ryu, Santos, Thai, Ortiz-Self, Orwall, Simmons, Slatter, Gregerson, Bergquist, Hackney, Valdez, Ramel, Riccelli, Macri, Goodman, Harris-Talley",No Requester,36,1
COVID-19 AND CORONAVIRUS,"Child care and early learning providers, increasing rates/training/grants/services to support",https://app.leg.wa.gov/billsummary?BillNumber=1213&Year=2021&Initiative=false,Engrossed 2nd Substitute - E2SHB 1213,HRules X,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Expanding accessible, affordable child care and early childhood development programs.","Senn, Chopp, Ramos, Bateman, Sells, Shewmake, Lekanoff, Peterson, Stonier, Duerr, Fitzgibbon, Berry, Rule, Davis, Wicks, Fey, Callan, Dolan, Frame, Lovick, Chapman, Ryu, Santos, Thai, Ortiz-Self, Orwall, Simmons, Slatter, Gregerson, Bergquist, Hackney, Valdez, Ramel, Riccelli, Macri, Goodman, Harris-Talley",No Requester,36,1
COVID-19 AND CORONAVIRUS,"Child care and early learning providers, increasing rates/training/grants/services to support",https://app.leg.wa.gov/billsummary?BillNumber=5237&Year=2021&Initiative=false,Engrossed 2nd Substitute - E2SSB 5237,C 199 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Expanding accessible, affordable child care and early childhood development programs.","Claire Wilson, Dhingra, Das, Billig, Conway, Darneille, Hasegawa, Hunt, Keiser, Kuderer, Liias, Lovelett, Nguyen, Nobles, Pedersen, Saldaña, Salomon",No Requester,16,2
COVID-19 AND CORONAVIRUS,"Child care and early learning providers, increasing rates/training/grants/services to support",https://app.leg.wa.gov/billsummary?BillNumber=5237&Year=2021&Initiative=false,Engrossed 2nd Substitute - E2SSB 5237,C 199 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Expanding accessible, affordable child care and early childhood development programs.","Claire Wilson, Dhingra, Das, Billig, Conway, Darneille, Hasegawa, Hunt, Keiser, Kuderer, Liias, Lovelett, Nguyen, Nobles, Pedersen, Saldaña, Salomon",No Requester,16,2
COVID-19 AND CORONAVIRUS,"Child care and early learning providers, increasing rates/training/grants/services to support",https://app.leg.wa.gov/billsummary?BillNumber=5237&Year=2021&Initiative=false,Engrossed 2nd Substitute - E2SSB 5237,C 199 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Expanding accessible, affordable child care and early childhood development programs.","Claire Wilson, Dhingra, Das, Billig, Conway, Darneille, Hasegawa, Hunt, Keiser, Kuderer, Liias, Lovelett, Nguyen, Nobles, Pedersen, Saldaña, Salomon",No Requester,16,2
COVID-19 AND CORONAVIRUS,"Child care and early learning providers, temporary suspension of early achievers program, extending",https://app.leg.wa.gov/billsummary?BillNumber=5277&Year=2021&Initiative=false,SB 5277,SEL/K-12,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Suspending the early achievers program.,Short,No Requester,0,1
COVID-19 AND CORONAVIRUS,"Child care industry, stabilizing, and expanding early childhood development programs access",https://app.leg.wa.gov/billsummary?BillNumber=1213&Year=2021&Initiative=false,Engrossed 2nd Substitute - E2SHB 1213,HRules X,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Expanding accessible, affordable child care and early childhood development programs.","Senn, Chopp, Ramos, Bateman, Sells, Shewmake, Lekanoff, Peterson, Stonier, Duerr, Fitzgibbon, Berry, Rule, Davis, Wicks, Fey, Callan, Dolan, Frame, Lovick, Chapman, Ryu, Santos, Thai, Ortiz-Self, Orwall, Simmons, Slatter, Gregerson, Bergquist, Hackney, Valdez, Ramel, Riccelli, Macri, Goodman, Harris-Talley",No Requester,36,1
COVID-19 AND CORONAVIRUS,"Child care industry, stabilizing, and expanding early childhood development programs access",https://app.leg.wa.gov/billsummary?BillNumber=1213&Year=2021&Initiative=false,Engrossed 2nd Substitute - E2SHB 1213,HRules X,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Expanding accessible, affordable child care and early childhood development programs.","Senn, Chopp, Ramos, Bateman, Sells, Shewmake, Lekanoff, Peterson, Stonier, Duerr, Fitzgibbon, Berry, Rule, Davis, Wicks, Fey, Callan, Dolan, Frame, Lovick, Chapman, Ryu, Santos, Thai, Ortiz-Self, Orwall, Simmons, Slatter, Gregerson, Bergquist, Hackney, Valdez, Ramel, Riccelli, Macri, Goodman, Harris-Talley",No Requester,36,1
COVID-19 AND CORONAVIRUS,"Child care industry, stabilizing, and expanding early childhood development programs access",https://app.leg.wa.gov/billsummary?BillNumber=1213&Year=2021&Initiative=false,Engrossed 2nd Substitute - E2SHB 1213,HRules X,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Expanding accessible, affordable child care and early childhood development programs.","Senn, Chopp, Ramos, Bateman, Sells, Shewmake, Lekanoff, Peterson, Stonier, Duerr, Fitzgibbon, Berry, Rule, Davis, Wicks, Fey, Callan, Dolan, Frame, Lovick, Chapman, Ryu, Santos, Thai, Ortiz-Self, Orwall, Simmons, Slatter, Gregerson, Bergquist, Hackney, Valdez, Ramel, Riccelli, Macri, Goodman, Harris-Talley",No Requester,36,1
