main_topic,description_1,bill_link,bill_name,current_status,house_progress,senate_progress,after_passage_progress,description_2,sponsors,requester,democrat_sponsor_count,republican_sponsor_count
EMPLOYMENT AND EMPLOYEES,"Employers, internal transfer offer to employee to include hourly or salary compensation",https://app.leg.wa.gov/billsummary?BillNumber=5761&Year=2021&Initiative=false,Engrossed Substitute - ESSB 5761,242 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Concerning employer requirements for providing wage and salary information to applicants for employment.,"Randall, Keiser, Nguyen, Nobles, Saldaña, Stanford, Wellman, Claire Wilson",No Requester,8,2
EMPLOYMENT AND EMPLOYEES,"Employers, L&I safety/health rules/guidance/policies and penalties imposed on, restricting",https://app.leg.wa.gov/billsummary?BillNumber=1609&Year=2021&Initiative=false,HB 1609,Labor & Workpl,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Limiting agency authority to align with federal standards during public health emergencies.,"Hoff, Vick, Caldier, Graham, Corry, Dufault",No Requester,0,6
EMPLOYMENT AND EMPLOYEES,"Employers, postings for job openings, disclosing hourly or salary and other compensation and benefits in",https://app.leg.wa.gov/billsummary?BillNumber=5761&Year=2021&Initiative=false,Engrossed Substitute - ESSB 5761,242 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Concerning employer requirements for providing wage and salary information to applicants for employment.,"Randall, Keiser, Nguyen, Nobles, Saldaña, Stanford, Wellman, Claire Wilson",No Requester,8,2
EMPLOYMENT AND EMPLOYEES,"Employers, postings for job openings, disclosing wage scale/salary range and benefits/other compensation in",https://app.leg.wa.gov/billsummary?BillNumber=5761&Year=2021&Initiative=false,Engrossed Substitute - ESSB 5761,242 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Concerning employer requirements for providing wage and salary information to applicants for employment.,"Randall, Keiser, Nguyen, Nobles, Saldaña, Stanford, Wellman, Claire Wilson",No Requester,8,2
EMPLOYMENT AND EMPLOYEES,"Family and medical leave, for railroad workers, and related employment protections",https://app.leg.wa.gov/billsummary?BillNumber=5065&Year=2021&Initiative=false,2nd Substitute - 2SSB 5065,Rules X,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Safeguarding the public safety by protecting railroad workers.,"Kuderer, Stanford, Conway, Hasegawa, Hunt, Keiser, Lovelett, Saldaña, Salomon, Claire Wilson",No Requester,10,2
EMPLOYMENT AND EMPLOYEES,"Family and medical leave, paid, actuarial services, office of, establishing",https://app.leg.wa.gov/billsummary?BillNumber=5649&Year=2021&Initiative=false,2nd Substitute - 2SSB 5649,233 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Modifying the Washington state paid family and medical leave act.,"Robinson, Conway, Lovick, Randall, Claire Wilson",No Requester,5,2
EMPLOYMENT AND EMPLOYEES,"Family and medical leave, paid, applicants to disclose if leave related to COVID-19 pandemic",https://app.leg.wa.gov/billsummary?BillNumber=5649&Year=2021&Initiative=false,2nd Substitute - 2SSB 5649,233 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Modifying the Washington state paid family and medical leave act.,"Robinson, Conway, Lovick, Randall, Claire Wilson",No Requester,5,2
EMPLOYMENT AND EMPLOYEES,"Family and medical leave, paid, applying for benefits and receiving predetermination",https://app.leg.wa.gov/billsummary?BillNumber=5649&Year=2021&Initiative=false,2nd Substitute - 2SSB 5649,233 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Modifying the Washington state paid family and medical leave act.,"Robinson, Conway, Lovick, Randall, Claire Wilson",No Requester,5,2
EMPLOYMENT AND EMPLOYEES,"Family and medical leave, paid, approved voluntary plans, list of employers that have",https://app.leg.wa.gov/billsummary?BillNumber=5649&Year=2021&Initiative=false,2nd Substitute - 2SSB 5649,233 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Modifying the Washington state paid family and medical leave act.,"Robinson, Conway, Lovick, Randall, Claire Wilson",No Requester,5,2
EMPLOYMENT AND EMPLOYEES,"Family and medical leave, paid, collective bargaining, in connection with",https://app.leg.wa.gov/billsummary?BillNumber=5649&Year=2021&Initiative=false,2nd Substitute - 2SSB 5649,233 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Modifying the Washington state paid family and medical leave act.,"Robinson, Conway, Lovick, Randall, Claire Wilson",No Requester,5,2
EMPLOYMENT AND EMPLOYEES,"Family and medical leave, paid, eligibility during public health emergency",https://app.leg.wa.gov/billsummary?BillNumber=5115&Year=2021&Initiative=false,Engrossed Substitute - ESSB 5115,252 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Establishing health emergency labor standards.,"Keiser, Liias, Conway, Kuderer, Lovelett, Nguyen, Salomon, Stanford, Claire Wilson",No Requester,9,2
EMPLOYMENT AND EMPLOYEES,"Family and medical leave, paid, eligibility for coverage, expanding",https://app.leg.wa.gov/billsummary?BillNumber=5097&Year=2021&Initiative=false,Engrossed Substitute - ESSB 5097,232 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Expanding coverage of the paid family and medical leave program.,"Robinson, Conway, Darneille, Das, Hasegawa, Hunt, Keiser, Liias, Lovelett, Nguyen, Saldaña, Stanford, Van De Wege, Claire Wilson",No Requester,13,2
EMPLOYMENT AND EMPLOYEES,"Family and medical leave, paid, employee premium rate, decreasing",https://app.leg.wa.gov/billsummary?BillNumber=5873&Year=2021&Initiative=false,Engrossed Substitute - ESSB 5873,61 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Concerning unemployment insurance, family leave, and medical leave premiums.","Keiser, Billig, Conway, Das, Dhingra, King, Kuderer, Liias, Lovick, Mullet, Nguyen, Nobles, Randall, Robinson, Rolfes, Stanford, Claire Wilson",No Requester,16,3
EMPLOYMENT AND EMPLOYEES,"Family and medical leave, paid, employees eligible but with too few hours worked, grants for employers and",https://app.leg.wa.gov/billsummary?BillNumber=1073&Year=2021&Initiative=false,Engrossed 2nd Substitute - E2SHB 1073,109 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Expanding coverage of the paid family and medical leave program.,"Berry, Wicks, Fitzgibbon, Bateman, Tharinger, Simmons, Kloba, Ramel, Ortiz-Self, Goodman, Ryu, Bronoske, Hackney, Chopp, Riccelli, Stonier, Frame, Macri, Davis, Pollet, Bergquist, Harris-Talley",No Requester,22,1
EMPLOYMENT AND EMPLOYEES,"Family and medical leave, paid, family and medical leave insurance account, maintaining solvency/stability of",https://app.leg.wa.gov/billsummary?BillNumber=5959&Year=2021&Initiative=false,SB 5959,Ways & Means,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning the financial stability and solvency of the family and medical leave insurance account.,"Linda Wilson, Braun, Dozier, Jeff Wilson",No Requester,1,4
EMPLOYMENT AND EMPLOYEES,"Family and medical leave, paid, implementation of, performance audit analyzing",https://app.leg.wa.gov/billsummary?BillNumber=5649&Year=2021&Initiative=false,2nd Substitute - 2SSB 5649,233 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Modifying the Washington state paid family and medical leave act.,"Robinson, Conway, Lovick, Randall, Claire Wilson",No Requester,5,2
EMPLOYMENT AND EMPLOYEES,"Family and medical leave, paid, information from employer reports, private/confidential",https://app.leg.wa.gov/billsummary?BillNumber=1613&Year=2021&Initiative=false,HB 1613,18 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Concerning shared reporting responsibilities for both the paid family and medical leave and the long-term services and supports trust programs to clarify that information collected from employer reports shall remain private.,"Sells, Berry, Ryu, Wicks, Taylor, Simmons, Kloba, Harris-Talley",Employment Security Department,8,1
EMPLOYMENT AND EMPLOYEES,"Family and medical leave, paid, leave used in postnatal period, requirements",https://app.leg.wa.gov/billsummary?BillNumber=5649&Year=2021&Initiative=false,2nd Substitute - 2SSB 5649,233 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Modifying the Washington state paid family and medical leave act.,"Robinson, Conway, Lovick, Randall, Claire Wilson",No Requester,5,2
EMPLOYMENT AND EMPLOYEES,"Family and medical leave, paid, legislative task force on paid family and medical leave insurance premiums, establishing",https://app.leg.wa.gov/billsummary?BillNumber=5649&Year=2021&Initiative=false,2nd Substitute - 2SSB 5649,233 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Modifying the Washington state paid family and medical leave act.,"Robinson, Conway, Lovick, Randall, Claire Wilson",No Requester,5,2
EMPLOYMENT AND EMPLOYEES,"Family and medical leave, paid, solvency surcharge, using certain funds to eliminate",https://app.leg.wa.gov/billsummary?BillNumber=5959&Year=2021&Initiative=false,SB 5959,Ways & Means,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning the financial stability and solvency of the family and medical leave insurance account.,"Linda Wilson, Braun, Dozier, Jeff Wilson",No Requester,1,4
EMPLOYMENT AND EMPLOYEES,"Family and medical leave, paid, transportation network companies and drivers application of, studying",https://app.leg.wa.gov/billsummary?BillNumber=2076&Year=2021&Initiative=false,Engrossed Substitute - ESHB 2076,281 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Concerning rights and obligations of transportation network company drivers and transportation network companies.,"Berry, Simmons, Kloba, Bergquist, Pollet, Kirby, Bronoske, Fitzgibbon, Ryu, Macri",No Requester,11,0
EMPLOYMENT AND EMPLOYEES,"Family and medical leave, paid, transportation network companies, drivers for",https://app.leg.wa.gov/billsummary?BillNumber=2076&Year=2021&Initiative=false,Engrossed Substitute - ESHB 2076,281 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Concerning rights and obligations of transportation network company drivers and transportation network companies.,"Berry, Simmons, Kloba, Bergquist, Pollet, Kirby, Bronoske, Fitzgibbon, Ryu, Macri",No Requester,11,0
EMPLOYMENT AND EMPLOYEES,"Family and medical leave, paid, using after death of family member, when",https://app.leg.wa.gov/billsummary?BillNumber=5649&Year=2021&Initiative=false,2nd Substitute - 2SSB 5649,233 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Modifying the Washington state paid family and medical leave act.,"Robinson, Conway, Lovick, Randall, Claire Wilson",No Requester,5,2
EMPLOYMENT AND EMPLOYEES,"Family and medical leave, unpaid, pre-2020 rights, liabilities, and obligations",https://app.leg.wa.gov/billsummary?BillNumber=1087&Year=2021&Initiative=false,HB 1087,59 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Clarifying the continuity of employee family and medical leave rights.,"Berry, Wicks, Simmons, Kloba, Hackney, Santos, Macri, Sullivan",No Requester,7,0
EMPLOYMENT AND EMPLOYEES,"Family/medical leave, pandemic leave assistance employee and employer grants, when",https://app.leg.wa.gov/billsummary?BillNumber=1073&Year=2021&Initiative=false,Engrossed 2nd Substitute - E2SHB 1073,109 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Expanding coverage of the paid family and medical leave program.,"Berry, Wicks, Fitzgibbon, Bateman, Tharinger, Simmons, Kloba, Ramel, Ortiz-Self, Goodman, Ryu, Bronoske, Hackney, Chopp, Riccelli, Stonier, Frame, Macri, Davis, Pollet, Bergquist, Harris-Talley",No Requester,22,1
EMPLOYMENT AND EMPLOYEES,"Farmworkers, L&I administration of various matters applicable to, performance audits of",https://app.leg.wa.gov/billsummary?BillNumber=2102&Year=2021&Initiative=false,HB 2102,Approps,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Commissioning a study and audits to examine current laws applicable to farmworkers related to workplace health and safety, housing needs, and harassment, discrimination, and retaliation.","Ortiz-Self, Valdez, Santos, Taylor, Berry, Pollet, Ramel, Ryu, Jesse Johnson",No Requester,8,0
EMPLOYMENT AND EMPLOYEES,"Farmworkers, specific needs of, comprehensive study of, conducting",https://app.leg.wa.gov/billsummary?BillNumber=2102&Year=2021&Initiative=false,HB 2102,Approps,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Commissioning a study and audits to examine current laws applicable to farmworkers related to workplace health and safety, housing needs, and harassment, discrimination, and retaliation.","Ortiz-Self, Valdez, Santos, Taylor, Berry, Pollet, Ramel, Ryu, Jesse Johnson",No Requester,8,0
EMPLOYMENT AND EMPLOYEES,"Farmworkers, temporary housing for, sales/use tax exemptions for, expanding",https://app.leg.wa.gov/billsummary?BillNumber=5396&Year=2021&Initiative=false,2nd Substitute - 2SSB 5396,250 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Expanding the sales and use tax exemption for farmworker housing.,"Lovelett, Saldaña, Conway, Das, Kuderer, Nguyen, Claire Wilson",No Requester,7,2
EMPLOYMENT AND EMPLOYEES,"Fruit/vegetables, manufacturer B&O tax exemption, employment/labor/civil rights adjudications disclosure for",https://app.leg.wa.gov/billsummary?BillNumber=5281&Year=2021&Initiative=false,SB 5281,"Labor, Comm &","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Modifying the business and occupation tax exemption for certain fruit and vegetable businesses.,"Rolfes, Saldaña, Nguyen, Claire Wilson",No Requester,4,2
EMPLOYMENT AND EMPLOYEES,"Harassment and/or discrimination nondisclosure requirement, prohibiting",https://app.leg.wa.gov/billsummary?BillNumber=5520&Year=2021&Initiative=false,SB 5520,Rules X,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Disclosing harassment and discrimination.,"Keiser, Stanford, Hasegawa, Kuderer, Nguyen, Claire Wilson",No Requester,6,2
EMPLOYMENT AND EMPLOYEES,"Hard-to-place job seekers, B&O and public utility tax credits for employers hiring",https://app.leg.wa.gov/billsummary?BillNumber=5986&Year=2021&Initiative=false,SB 5986,Housing & Loca,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Addressing homelessness through providing emergency shelter, incentivizing employment of workers experiencing homelessness, and building homes for a better future.",Fortunato,No Requester,0,1
EMPLOYMENT AND EMPLOYEES,"Health care employees, hazard pay retention bonus for, when",https://app.leg.wa.gov/billsummary?BillNumber=5911&Year=2021&Initiative=false,Substitute - SSB 5911,Ways & Means,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Providing hazard pay retention bonuses to certain health care employees.,"Cleveland, Keiser, Billig, Conway, Das, Lovelett, Lovick, Nguyen, Randall, Saldaña, Stanford, Trudeau",No Requester,12,0
EMPLOYMENT AND EMPLOYEES,"Health care employees, practicing in COVID units, hazard pay retention bonus for",https://app.leg.wa.gov/billsummary?BillNumber=5911&Year=2021&Initiative=false,Substitute - SSB 5911,Ways & Means,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Providing hazard pay retention bonuses to certain health care employees.,"Cleveland, Keiser, Billig, Conway, Das, Lovelett, Lovick, Nguyen, Randall, Saldaña, Stanford, Trudeau",No Requester,12,0
EMPLOYMENT AND EMPLOYEES,"Health care employees, surgical smoke during procedures, smoke evacuation systems to remove",https://app.leg.wa.gov/billsummary?BillNumber=1779&Year=2021&Initiative=false,Substitute - SHB 1779,129 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Requiring policies addressing surgical smoke.,"Callan, Bronoske, Sells, Dolan, Ramos",No Requester,5,0
EMPLOYMENT AND EMPLOYEES,"Health emergencies, public, protective devices/equipment during, requirements for employers",https://app.leg.wa.gov/billsummary?BillNumber=5254&Year=2021&Initiative=false,Substitute - SSB 5254,146 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Concerning the use of protective devices and equipment during a public health emergency.,"Salomon, Darneille, Frockt, Hasegawa, Keiser, Saldaña, Stanford, Claire Wilson",No Requester,7,2
EMPLOYMENT AND EMPLOYEES,"Health emergency labor standards, establishing",https://app.leg.wa.gov/billsummary?BillNumber=5115&Year=2021&Initiative=false,Engrossed Substitute - ESSB 5115,252 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Establishing health emergency labor standards.,"Keiser, Liias, Conway, Kuderer, Lovelett, Nguyen, Salomon, Stanford, Claire Wilson",No Requester,9,2
EMPLOYMENT AND EMPLOYEES,"Health-related measures, restricting employment participation due to declining to comply with, prohibiting",https://app.leg.wa.gov/billsummary?BillNumber=1317&Year=2021&Initiative=false,HB 1317,HC/Wellness,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning an individual's right to refuse health-related measures.,"Young, Kraft, Chase, Sutherland",No Requester,0,4
EMPLOYMENT AND EMPLOYEES,"Hospitality industry, new employees hired for new positions, B&O tax credits for",https://app.leg.wa.gov/billsummary?BillNumber=5515&Year=2021&Initiative=false,Substitute - SSB 5515,Ways & Means,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Encouraging economic growth by providing a state business tax credit for new employment positions in the hospitality industry.,"Dozier, Holy, Padden",No Requester,0,3
EMPLOYMENT AND EMPLOYEES,"Immediate employment programs, for persons experiencing homelessness, grant program for establishing, creating",https://app.leg.wa.gov/billsummary?BillNumber=2132&Year=2021&Initiative=false,HB 2132,"Hous, Human Sv","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Providing for immediate employment programs for people experiencing homelessness.,"Dufault, Rude, Boehnke",No Requester,0,3
EMPLOYMENT AND EMPLOYEES,"Labor rights, countries that provide, as eligible to sell for use or provide transportation fuels in state, criteria and list",https://app.leg.wa.gov/billsummary?BillNumber=1551&Year=2021&Initiative=false,HB 1551,Env & Energy,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Removing the usage of forced labor by children and other workers in Washington state's transportation domestic fuel market by placing conditions on the sourcing of transportation fuel.,"Maycumber, Fitzgibbon, Gilday, Robertson, Orcutt, Chandler, Abbarno, Dent, Eslick, Sutherland, Corry, Boehnke, Goehner, Klicker, Walsh, Graham, Mosbrucker, Schmick, Dye, Chambers, Wylie, Barkis, Duerr, Pollet, Young, Volz",No Requester,4,22
EMPLOYMENT AND EMPLOYEES,"Leave, paid administrative, for health care workers during public health emergency, when",https://app.leg.wa.gov/billsummary?BillNumber=1242&Year=2021&Initiative=false,HB 1242,Labor & Workpl,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Providing paid administrative leave for health care workers in time of declared public health emergencies.,"Leavitt, Dolan, Lovick, Valdez, Simmons, Ramel, Ortiz-Self, Frame, Shewmake, Ryu, Callan, Wicks, Rule, Lekanoff, Macri, Bronoske, Chopp, Slatter, Ramos, Harris-Talley, Pollet",No Requester,21,1
EMPLOYMENT AND EMPLOYEES,"Leave, paid sick and emergency child care leave for all employees during public health emergency",https://app.leg.wa.gov/billsummary?BillNumber=5115&Year=2021&Initiative=false,Engrossed Substitute - ESSB 5115,252 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Establishing health emergency labor standards.,"Keiser, Liias, Conway, Kuderer, Lovelett, Nguyen, Salomon, Stanford, Claire Wilson",No Requester,9,2
EMPLOYMENT AND EMPLOYEES,"Leave, paid sick or emergency child care leave, employers meeting requirements, tax credits for",https://app.leg.wa.gov/billsummary?BillNumber=5115&Year=2021&Initiative=false,Engrossed Substitute - ESSB 5115,252 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Establishing health emergency labor standards.,"Keiser, Liias, Conway, Kuderer, Lovelett, Nguyen, Salomon, Stanford, Claire Wilson",No Requester,9,2
